epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.26,1.89496,3.29257,1.78501,0.13232,0.05553,0.12272,0.04796,1.98882,3.49112,1.9722,0.000472003,0.000472003,0.000472003
2,262.377,1.78363,2.66629,1.7085,0.32526,0.24834,0.18572,0.06914,2.19795,3.34648,2.14123,0.000929559,0.000929559,0.000929559
3,378.264,1.79555,2.45047,1.72081,0.10938,0.14439,0.11344,0.04866,2.10393,2.87874,2.01292,0.00136825,0.00136825,0.00136825
4,506.461,1.75579,2.23638,1.67906,0.23922,0.18642,0.12127,0.04593,2.21151,3.0301,2.09109,0.00134412,0.00134412,0.00134412
5,2696.57,1.72642,2.04743,1.64058,0.29449,0.19231,0.17975,0.077,2.06378,2.55129,1.93218,0.00131582,0.00131582,0.00131582
6,2836.66,1.67356,1.93337,1.60354,0.37271,0.15811,0.15134,0.06712,1.98303,2.66631,1.86007,0.00128753,0.00128753,0.00128753
7,2974.41,1.65424,1.81979,1.5892,0.51126,0.16721,0.18546,0.07937,2.11817,2.66488,1.99702,0.00125923,0.00125923,0.00125923
8,3107.3,1.62413,1.73494,1.55147,0.39951,0.22253,0.20923,0.0945,1.96373,2.29114,1.85183,0.00123094,0.00123094,0.00123094
9,3260.69,1.59341,1.66802,1.55312,0.57119,0.26765,0.25885,0.11113,2.04615,2.03452,1.92792,0.00120265,0.00120265,0.00120265
10,3403.67,1.58173,1.60153,1.5204,0.48923,0.20053,0.21278,0.10537,2.05111,2.17989,1.91187,0.00117435,0.00117435,0.00117435
11,3549.44,1.52626,1.53502,1.49923,0.59961,0.29056,0.2989,0.14151,2.00612,2.10047,1.96616,0.00114606,0.00114606,0.00114606
12,3699.55,1.52651,1.47121,1.48762,0.52178,0.21258,0.21172,0.10053,1.98479,1.94783,1.94216,0.00111776,0.00111776,0.00111776
13,3858.26,1.50122,1.45822,1.46467,0.35306,0.27857,0.23481,0.10801,1.98857,2.09884,1.93074,0.00108947,0.00108947,0.00108947
14,4020.62,1.46877,1.38472,1.43676,0.37221,0.33963,0.26749,0.13604,1.91721,1.93081,1.83933,0.00106118,0.00106118,0.00106118
15,4179.48,1.44641,1.31667,1.42227,0.69893,0.27626,0.25875,0.12174,1.9822,1.93548,1.93355,0.00103288,0.00103288,0.00103288
16,4345.29,1.42788,1.31042,1.42632,0.39834,0.43827,0.35844,0.17794,1.96525,1.8149,1.86053,0.00100459,0.00100459,0.00100459
17,4505.49,1.40828,1.25689,1.40389,0.38825,0.2028,0.19981,0.10071,1.92934,2.26632,1.89305,0.000976293,0.000976293,0.000976293
18,4656.05,1.38083,1.21098,1.37987,0.47091,0.2976,0.31974,0.18079,1.81915,2.05663,1.89774,0.000947999,0.000947999,0.000947999
19,4813.89,1.35895,1.1972,1.36033,0.46056,0.36128,0.36243,0.1869,1.83361,1.75128,1.79259,0.000919704,0.000919704,0.000919704
20,4967.19,1.33688,1.13804,1.34791,0.52609,0.38857,0.4058,0.21389,1.9749,2.06352,1.9337,0.00089141,0.00089141,0.00089141
21,5141.28,1.32577,1.12091,1.3316,0.47389,0.57924,0.51313,0.26777,1.90275,1.88156,1.86378,0.000863116,0.000863116,0.000863116
22,5302.7,1.3021,1.08427,1.31287,0.51991,0.56306,0.44852,0.24209,2.00009,1.70046,1.9687,0.000834822,0.000834822,0.000834822
23,5473.99,1.28745,1.06677,1.29833,0.44079,0.39673,0.36753,0.18348,1.95132,2.01483,1.88533,0.000806528,0.000806528,0.000806528
24,5622.86,1.27298,1.05429,1.30307,0.52206,0.55452,0.5284,0.25889,1.89559,1.73687,1.84415,0.000778233,0.000778233,0.000778233
25,5761.62,1.27257,1.05365,1.30798,0.48276,0.50344,0.45547,0.2239,2.0199,2.00081,1.95482,0.000749939,0.000749939,0.000749939
26,5899.79,1.22569,1.01381,1.27064,0.52223,0.6093,0.5383,0.26492,2.04307,1.9317,2.12896,0.000721645,0.000721645,0.000721645
27,6043.91,1.23261,0.99428,1.26981,0.53707,0.4735,0.47308,0.20181,1.99822,2.14397,1.95485,0.000693351,0.000693351,0.000693351
28,6185.47,1.19383,0.95727,1.24936,0.51221,0.60787,0.53184,0.24237,2.03993,1.74574,1.98559,0.000665057,0.000665057,0.000665057
29,6335.03,1.16534,0.93422,1.23221,0.48353,0.45775,0.44464,0.19737,1.99575,2.03392,1.9503,0.000636762,0.000636762,0.000636762
