epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6488.2,1.16982,0.92594,1.23436,0.54092,0.59271,0.55058,0.26641,1.92692,1.7675,1.97552,0.000608468,0.000608468,0.000608468
31,6661.17,1.14638,0.90586,1.20982,0.53032,0.5229,0.48553,0.22718,2.07273,1.80426,2.09824,0.000580174,0.000580174,0.000580174
32,6838.25,1.13914,0.89679,1.21355,0.5428,0.61265,0.51602,0.2371,1.9506,1.83927,1.97565,0.00055188,0.00055188,0.00055188
33,7025.45,1.12369,0.86587,1.20623,0.56635,0.49552,0.52834,0.24034,2.08434,2.11409,2.06215,0.000523586,0.000523586,0.000523586
34,7189.36,1.10957,0.85762,1.19156,0.6346,0.45058,0.50399,0.23298,1.96277,2.05855,2.05695,0.000495291,0.000495291,0.000495291
35,7330.89,1.1066,0.85825,1.18975,0.56676,0.54022,0.49644,0.23567,1.98392,1.8483,2.00317,0.000466997,0.000466997,0.000466997
36,7499.42,1.07111,0.83119,1.17206,0.45208,0.57165,0.53301,0.25546,1.9315,1.80333,1.9794,0.000438703,0.000438703,0.000438703
37,7662.78,1.03924,0.81328,1.15907,0.51002,0.60088,0.52958,0.25419,1.96336,1.80537,2.0998,0.000410409,0.000410409,0.000410409
38,7849.27,1.03443,0.79399,1.15298,0.52209,0.54288,0.47652,0.23595,2.03236,1.92783,2.13325,0.000382115,0.000382115,0.000382115
39,8011.58,1.0131,0.78366,1.14781,0.42796,0.62503,0.51275,0.24413,2.08508,2.0185,2.12103,0.00035382,0.00035382,0.00035382
40,8191.84,1.0382,0.79238,1.1538,0.56801,0.45714,0.54323,0.25489,1.98326,2.03883,2.11773,0.000325526,0.000325526,0.000325526
41,8378.2,0.89329,0.56959,1.07287,0.60057,0.49573,0.54287,0.2643,1.97363,1.72909,2.01487,0.000297232,0.000297232,0.000297232
42,8554.65,0.83144,0.5329,1.03215,0.52935,0.57962,0.47586,0.23172,2.00907,1.82048,2.12887,0.000268938,0.000268938,0.000268938
43,8720.81,0.82693,0.51673,1.0271,0.61635,0.47879,0.50047,0.22959,2.11144,1.87644,2.19845,0.000240644,0.000240644,0.000240644
44,8873.04,0.79707,0.50988,1.01545,0.53883,0.60594,0.51084,0.25355,1.99052,1.79225,2.14517,0.000212349,0.000212349,0.000212349
45,9026.06,0.77948,0.49143,1.00306,0.54526,0.61094,0.51058,0.25658,2.01136,1.85329,2.16356,0.000184055,0.000184055,0.000184055
46,9166.53,0.746,0.47308,0.99291,0.53295,0.58351,0.4966,0.24298,2.0668,1.80925,2.23543,0.000155761,0.000155761,0.000155761
47,9327.71,0.7374,0.47541,0.98378,0.53908,0.5596,0.47898,0.23561,2.00901,1.92108,2.17847,0.000127467,0.000127467,0.000127467
48,9467.54,0.71142,0.45653,0.97674,0.58956,0.50354,0.50127,0.2493,2.05905,1.92603,2.27166,9.91726e-05,9.91726e-05,9.91726e-05
49,9615.76,0.71546,0.45187,0.97872,0.56454,0.56214,0.48946,0.23829,2.03436,1.89103,2.21113,7.08784e-05,7.08784e-05,7.08784e-05
50,9766.34,0.70565,0.44312,0.96837,0.60685,0.48821,0.48447,0.23974,2.02911,1.86502,2.22305,4.25842e-05,4.25842e-05,4.25842e-05
