epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.322,1.90894,3.08946,1.86329,0.24589,0.4001,0.11455,0.04042,2.16226,4.95786,2.42061,0.000472003,0.000472003,0.000472003
2,481.402,1.82444,2.034,1.85353,0.31789,0.14165,0.17083,0.05765,2.35098,3.11789,2.45349,0.000854451,0.000854451,0.000854451
3,702.139,1.84117,1.95365,1.82129,0.19672,0.26804,0.18061,0.07561,2.17185,2.62416,2.09957,0.00114259,0.00114259,0.00114259
4,920.607,1.75523,1.78589,1.78157,0.15523,0.23109,0.10301,0.04196,1.9311,2.6362,1.99247,0.00100459,0.00100459,0.00100459
5,1144.16,1.66218,1.57802,1.70483,0.32122,0.20643,0.14566,0.06354,1.95547,2.3589,1.99515,0.000863116,0.000863116,0.000863116
6,1369.23,1.58224,1.40882,1.62733,0.40759,0.28484,0.24395,0.11335,2.06581,1.99953,2.04685,0.000721645,0.000721645,0.000721645
7,1586.84,1.51919,1.22783,1.56172,0.3744,0.26387,0.24713,0.11287,1.98975,1.86387,1.9406,0.000580174,0.000580174,0.000580174
8,1806.99,1.40476,1.08939,1.47407,0.42206,0.26823,0.25508,0.13049,2.09183,2.17437,2.11483,0.000438703,0.000438703,0.000438703
9,2031.01,1.32423,0.96905,1.41477,0.49452,0.36235,0.32578,0.16081,2.00373,1.75628,2.01967,0.000297232,0.000297232,0.000297232
10,2373.82,1.24413,0.84408,1.34593,0.47075,0.36668,0.33946,0.19002,1.87515,1.71484,1.91191,0.000155761,0.000155761,0.000155761
