epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6988.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000472003,0.000472003,0.000472003
2,11206.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000854451,0.000854451,0.000854451
3,15353.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00114259,0.00114259,0.00114259
4,18531,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100459,0.00100459,0.00100459
5,21683.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000863116,0.000863116,0.000863116
6,25715.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000721645,0.000721645,0.000721645
7,29150.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000580174,0.000580174,0.000580174
8,33386.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000438703,0.000438703,0.000438703
9,37562.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000297232,0.000297232,0.000297232
10,41668.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000155761,0.000155761,0.000155761
